Date,Open,High,Low,Close,Volume,Company
2010-01-04,457.95249366760254,476.21251583099365,456.5,475.1749920845032,26702800,GameStop
2010-01-05,475.38249683380127,492.6049952507019,475.1749920845032,488.0400094985962,21269600,GameStop
2010-01-06,486.7949810028076,500.0750079154968,481.8149857521057,498.6225142478943,21471200,GameStop
2010-01-07,415.2075047492981,439.27750158309937,402.96500158309937,424.5449810028076,164761200,GameStop
2010-01-08,428.2799873352051,440.5224905014038,419.7724905014038,421.0175189971924,47872400,GameStop
2010-01-11,426.2050189971924,427.24250316619873,417.2825126647949,421.63999366760254,28085200,GameStop
2010-01-12,428.69499683380127,431.59998416900635,421.22498416900635,430.9775094985962,28486000,GameStop
2010-01-13,432.22249841690063,433.6749920845032,427.865017414093,431.3925189971924,17787600,GameStop
2010-01-14,429.9399857521057,432.22249841690063,423.0924873352051,425.375,27087600,GameStop
2010-01-15,425.1674952507019,428.90250158309937,423.50749683380127,425.375,24515200,GameStop
2010-01-19,428.4874920845032,431.80748891830444,423.2999920845032,431.80748891830444,16406800,GameStop
2010-01-20,428.4874920845032,430.9775094985962,423.0924873352051,425.5825047492981,16296800,GameStop
2010-01-21,423.92250633239746,428.4874920845032,421.84749841690063,423.71500158309937,17704000,GameStop
2010-01-22,423.71500158309937,424.13001108169556,414.5849905014038,415.6225142478943,13537600,GameStop
2010-01-25,417.490017414093,421.0175189971924,412.9249920845032,413.54750633239746,14026400,GameStop
2010-01-26,411.47249841690063,416.03748416900635,405.0400094985962,407.5299873352051,25002400,GameStop
2010-01-27,408.15250158309937,415.2075047492981,404.625,413.75501108169556,26276000,GameStop
2010-01-28,415.2075047492981,415.2075047492981,409.8125,412.0950126647949,17192800,GameStop
2010-01-29,413.75501108169556,415.8300189971924,409.1899857521057,410.2275094985962,18107600,GameStop
2010-02-01,414.5849905014038,416.45249366760254,407.94499683380127,413.54750633239746,22914400,GameStop
2010-02-02,413.75501108169556,421.22498416900635,412.0950126647949,419.7724905014038,17193200,GameStop
2010-02-03,420.6025094985962,426.82749366760254,416.24498891830444,425.5825047492981,13012000,GameStop
2010-02-04,422.4700126647949,423.71500158309937,414.3774857521057,417.0750079154968,20178400,GameStop
2010-02-05,418.52750158309937,421.43248891830444,412.509982585907,418.1124920845032,13127200,GameStop
2010-02-08,417.9049873352051,417.9049873352051,408.15250158309937,408.56751108169556,16622400,GameStop
2010-02-09,393.8349905014038,397.3624920845032,379.1025094985962,390.51499366760254,44096400,GameStop
2010-02-10,390.51499366760254,400.47498416900635,389.8925189971924,397.77750158309937,22481600,GameStop
2010-02-11,398.19251108169556,405.0400094985962,396.947482585907,401.7200126647949,16944400,GameStop
2010-02-12,399.0224905014038,399.6450047492981,390.09998416900635,397.77750158309937,19654800,GameStop
2010-02-16,397.98500633239746,399.4375,391.1375079154968,394.0424952507019,15120800,GameStop
