Date,Open,High,Low,Close,Adj Close,Volume,Returns,NAV,AUM,Expense Ratio,Volatility
2010-01-04,7719.679977416992,7719.679977416992,7719.679977416992,7719.679977416992,80.70423126220703,0,,80.70423126220703,100000000,0.1,
2010-01-05,7743.359954833984,7743.359954833984,7743.359954833984,7743.359954833984,80.95179748535156,0,0.3067574268072581,80.95179748535156,100000000,0.1,
2010-01-06,7751.5,7751.5,7751.5,7751.5,81.03691101074219,0,0.1051409950545201,81.03691101074219,100000000,0.1,
2010-01-07,7782.579864501954,7782.579864501954,7782.579864501954,7782.579864501954,81.3618392944336,0,0.4009633136785373,81.3618392944336,100000000,0.1,
2010-01-08,7805.520248413086,7805.520248413086,7805.520248413086,7805.520248413086,81.60167694091797,0,0.2947790371558012,81.60167694091797,100000000,0.1,
2010-01-11,7818.840270996094,7818.840270996094,7818.840270996094,7818.840270996094,81.74092864990234,0,0.170648097201731,81.74092864990234,100000000,0.1,
2010-01-12,7745.579864501954,7745.579864501954,7745.579864501954,7745.579864501954,80.97502899169922,0,-0.936984287863285,80.97502899169922,100000000,0.1,
2010-01-13,7810.700225830077,7810.700225830077,7810.700225830077,7810.700225830077,81.65579986572266,0,0.8407170488240467,81.65579986572266,100000000,0.1,
2010-01-14,7829.939819335938,7829.939819335938,7829.939819335938,7829.939819335938,81.8569564819336,0,0.2463470035707571,81.8569564819336,100000000,0.1,
2010-01-15,7745.579864501954,7745.579864501954,7745.579864501954,7745.579864501954,80.97502899169922,0,-1.0774007831930832,80.97502899169922,100000000,0.1,
2010-01-19,7841.780090332031,7841.780090332031,7841.780090332031,7841.780090332031,81.98072814941406,0,1.2419867831327869,81.98072814941406,100000000,0.1,
2010-01-20,7759.640045166016,7759.640045166016,7759.640045166016,7759.640045166016,81.12200927734375,0,-1.0474643144243068,81.12200927734375,100000000,0.1,
2010-01-21,7613.119796752929,7613.119796752929,7613.119796752929,7613.119796752929,79.59024047851562,0,-1.888228376581802,79.59024047851562,100000000,0.1,
2010-01-22,7444.399887084961,7444.399887084961,7444.399887084961,7444.399887084961,77.82634735107422,0,-2.216217863944692,77.82634735107422,100000000,0.1,
2010-01-25,7478.439819335938,7478.439819335938,7478.439819335938,7478.439819335938,78.18225860595703,0,0.4573146074520196,78.18225860595703,100000000,0.1,
2010-01-26,7447.359954833984,7447.359954833984,7447.359954833984,7447.359954833984,77.85731506347656,0,-0.4156231199691995,77.85731506347656,100000000,0.1,
2010-01-27,7484.359954833984,7484.359954833984,7484.359954833984,7484.359954833984,78.2441177368164,0,0.4968096742412609,78.2441177368164,100000000,0.1,
